Time,timefit,Condition,Gate,TOF,Extinction,Green,logGreen
T0,0,High +,R4,2175,2957,1268.00,7.145196135
T0,0,High +,R4,1888,2860,1344.00,7.203405521
T0,0,High +,R4,2543,2554,2033.00,7.617267814
T0,0,High +,R4,2292,2751,1208.00,7.096721378
T0,0,High +,R4,1869,2238,2551.00,7.844240718
T0,0,High +,R4,2098,2736,2546.00,7.842278779
T0,0,High +,R4,2129,2521,2747.00,7.918264686
T0,0,High +,R4,1758,2565,3017.00,8.012018239
T0,0,High +,R4,1481,2042,911.00,6.814542897
T0,0,High +,R4,2361,3042,1187.00,7.079184395
T0,0,High +,R4,2318,2632,1046.00,6.952728645
T0,0,High +,R4,1919,2517,916.00,6.820016365
T0,0,High +,R4,1298,2077,1879.00,7.538494999
T0,0,High +,R4,2320,2556,2670.00,7.889833751
T0,0,High +,R4,2492,3315,3614.00,8.192570471
T0,0,High +,R4,1988,2565,2145.00,7.670894831
T0,0,High +,R4,1584,2328,2674.00,7.891330758
T0,0,High +,R4,1997,2729,1078.00,6.982862751
T0,0,High +,R4,2147,2993,1820.00,7.50659178
T0,0,High +,R4,1658,1098,910.00,6.8134446
T0,0,High +,R4,1954,2515,1103.00,7.005789019
T0,0,High +,R4,2101,2940,3765.00,8.23350314
T0,0,High +,R4,1861,2715,972.00,6.879355804
T0,0,High +,R4,1706,2131,2413.00,7.788626066
T0,0,High +,R4,1985,2812,2022.00,7.6118424
T0,0,High +,R4,2107,2404,3178.00,8.064007347
T0,0,High +,R4,2087,2590,999.00,6.906754779
T0,0,High +,R4,1751,2505,1378.00,7.228388452
T0,0,High +,R4,2208,2676,1392.00,7.238496841
T0,0,High +,R4,1547,2055,1161.00,7.057036982
T0,0,High +,R4,2321,3127,1580.00,7.365180126
T0,0,High +,R4,1302,2336,1123.00,7.023758955
T0,0,High +,R4,2022,2193,1547.00,7.344072851
T0,0,High +,R4,1791,2546,2131.00,7.664346632
T0,0,High +,R4,1912,2748,1059.00,6.965080346
T0,0,High +,R4,1518,2319,1118.00,7.019296654
T0,0,High +,R4,2170,2727,1253.00,7.133295955
T0,0,High +,R4,1614,1456,2359.00,7.765993079
T0,0,High +,R4,1810,2153,1392.00,7.238496841
T0,0,High +,R4,2182,2765,1293.00,7.164720379
T0,0,High +,R4,1543,1508,1832.00,7.513163545
T0,0,High +,R4,1743,2200,930.00,6.835184586
T0,0,Low -,R5,2455,3013,282.00,5.641907071
T0,0,Low -,R5,2078,2266,153.00,5.030437921
T0,0,Low -,R5,1314,2348,410.00,6.01615716
T0,0,Low -,R5,2039,2882,341.00,5.831882477
T0,0,Low -,R5,2401,2822,378.00,5.934894196
T0,0,Low -,R5,1875,2619,453.00,6.115892125
